case_id,activity,timestamp,resource,cost
CASE-0001,Order Received,2025-01-02 08:15:00,Sarah Chen,50
CASE-0001,Validate Order,2025-01-02 09:30:00,Mike Johnson,25
CASE-0001,Credit Check,2025-01-02 14:45:00,Emma Williams,75
CASE-0001,Order Approved,2025-01-03 10:20:00,David Brown,30
CASE-0001,Prepare Shipment,2025-01-03 14:00:00,Lisa Garcia,100
CASE-0001,Ship Order,2025-01-04 09:00:00,James Wilson,150
CASE-0001,Deliver Order,2025-01-05 11:30:00,Maria Martinez,80
CASE-0001,Receive Payment,2025-01-06 15:00:00,Robert Taylor,20
CASE-0001,Close Case,2025-01-06 16:00:00,Sarah Chen,10
CASE-0002,Order Received,2025-01-02 09:00:00,Mike Johnson,50
CASE-0002,Validate Order,2025-01-02 11:15:00,Sarah Chen,25
CASE-0002,Credit Check,2025-01-02 16:30:00,Emma Williams,75
CASE-0002,Order Rejected,2025-01-03 09:45:00,David Brown,30
CASE-0002,Close Case,2025-01-03 10:30:00,Sarah Chen,10
CASE-0003,Order Received,2025-01-02 10:30:00,Lisa Garcia,50
CASE-0003,Order Approved,2025-01-02 12:00:00,David Brown,30
CASE-0003,Prepare Shipment,2025-01-02 15:30:00,James Wilson,100
CASE-0003,Ship Order,2025-01-03 08:45:00,Maria Martinez,150
CASE-0003,Deliver Order,2025-01-04 10:00:00,Robert Taylor,80
CASE-0003,Receive Payment,2025-01-05 14:30:00,Sarah Chen,20
CASE-0003,Close Case,2025-01-05 15:15:00,Mike Johnson,10
CASE-0004,Order Received,2025-01-03 08:00:00,Emma Williams,50
CASE-0004,Validate Order,2025-01-03 10:30:00,David Brown,25
CASE-0004,Credit Check,2025-01-03 15:00:00,Lisa Garcia,75
CASE-0004,Order Approved,2025-01-04 09:30:00,James Wilson,30
CASE-0004,Prepare Shipment,2025-01-04 14:15:00,Maria Martinez,100
CASE-0004,Ship Order,2025-01-05 09:00:00,Robert Taylor,150
CASE-0004,Deliver Order,2025-01-06 11:00:00,Sarah Chen,80
CASE-0004,Receive Payment,2025-01-07 10:30:00,Mike Johnson,20
CASE-0004,Close Case,2025-01-07 11:00:00,Emma Williams,10
CASE-0005,Order Received,2025-01-03 09:15:00,David Brown,50
CASE-0005,Validate Order,2025-01-03 11:45:00,Lisa Garcia,25
CASE-0005,Order Received,2025-01-03 14:30:00,David Brown,50
CASE-0005,Validate Order,2025-01-03 16:00:00,James Wilson,25
CASE-0005,Credit Check,2025-01-04 10:00:00,Maria Martinez,75
CASE-0005,Order Approved,2025-01-04 14:30:00,Robert Taylor,30
CASE-0005,Prepare Shipment,2025-01-05 09:00:00,Sarah Chen,100
CASE-0005,Ship Order,2025-01-05 14:00:00,Mike Johnson,150
CASE-0005,Deliver Order,2025-01-06 10:30:00,Emma Williams,80
CASE-0005,Receive Payment,2025-01-07 15:00:00,David Brown,20
CASE-0005,Close Case,2025-01-07 16:00:00,Lisa Garcia,10
CASE-0006,Order Received,2025-01-04 08:30:00,James Wilson,50
CASE-0006,Validate Order,2025-01-04 10:00:00,Maria Martinez,25
CASE-0006,Credit Check,2025-01-04 14:30:00,Robert Taylor,75
CASE-0006,Order Approved,2025-01-05 09:15:00,Sarah Chen,30
CASE-0006,Prepare Shipment,2025-01-05 13:45:00,Mike Johnson,100
CASE-0006,Ship Order,2025-01-06 08:30:00,Emma Williams,150
CASE-0006,Deliver Order,2025-01-07 10:15:00,David Brown,80
CASE-0006,Receive Payment,2025-01-08 14:00:00,Lisa Garcia,20
CASE-0006,Receive Payment,2025-01-09 10:00:00,Lisa Garcia,20
CASE-0006,Close Case,2025-01-09 11:00:00,James Wilson,10
CASE-0007,Order Received,2025-01-04 09:45:00,Maria Martinez,50
CASE-0007,Validate Order,2025-01-04 12:15:00,Robert Taylor,25
CASE-0007,Credit Check,2025-01-04 16:30:00,Sarah Chen,75
CASE-0007,Order Rejected,2025-01-05 10:00:00,Mike Johnson,30
CASE-0007,Close Case,2025-01-05 10:45:00,Emma Williams,10
CASE-0008,Order Received,2025-01-05 08:00:00,David Brown,50
CASE-0008,Order Approved,2025-01-05 10:30:00,Lisa Garcia,30
CASE-0008,Prepare Shipment,2025-01-05 14:00:00,James Wilson,100
CASE-0008,Ship Order,2025-01-06 09:15:00,Maria Martinez,150
