hash,author,date,message
8332d35,Naman Agarwal,Merge branch 'feature/dag-orchestration' into dev,
6ddab88,Naman Agarwal,feat: Add Temporal infrastructure configuration and dependencies,
fc227f8,Naman Agarwal,chore: Add agent session log entry for a 'Read' tool 'PostToolUse' event.,
0186ec1,Naman Agarwal,"refactor: Migrate core datasets, analysis, and admin functionality to the new process mining feature structure.",
06eb052,Naman Agarwal,"feat: Introduce new user and organization management, refactor process mining models, and add frontend API generation.",
152b4b3,Naman Agarwal,feat: Add DAG workflow orchestration API endpoints and tests.,
84dfd2e,Naman Agarwal,"feat: Implement DAG-based workflow orchestration with a task registry, executor, and initial dataset, analysis, and prediction tasks, alongside a database migration for DAG tables.",
986c59f,Naman Agarwal,"feat: Introduce a new DAG orchestration system for managing definitions, runs, and step execution.",
9143fad,Naman Agarwal,refactor: Add DAG orchestration infrastructure and comprehensive schema documentation,
fc4d05b,Naman Agarwal,"feat: Implement domain-driven design by introducing dedicated `analysis`, `datasets`, and `admin` domains with new services, schemas, and models, alongside refactoring existing feature modules.",
cb51b7d,Naman Agarwal,"feat: Add new domains for analysis, dataset management, and administrative functions.",
7d485c2,Naman Agarwal,"feat: Introduce new analysis, admin, and datasets domains, add extensive API test coverage, and refine existing process mining features.",
819f03c,Naman Agarwal,"feat: Streamline process mining discovery API, enhance dataset status polling in tests, and add a computation graph report.",
15aeca9,Naman Agarwal,"refactor: Migrate process mining service calls to use a discovery service via dependency injection, expand exposed schemas, and add sample data.",
89b74ba,Naman Agarwal,"feat: Introduce event sourcing for domain events, shared repositories and pipelines, and add process mining sample data.",
6f1a99c,Naman Agarwal,"feat: Implement process mining data ingestion, update API routes, and add test datasets.",
1f12cfd,Naman Agarwal,"feat: Add comprehensive process mining schemas, standardize error messages, and enhance logging.",
169fb89,Naman Agarwal,"feat: Introduce process mining schemas for OCEL, visualization, analytics, conformance, and discovery.",
c915463,Naman Agarwal,feat: Introduce stub audit logging endpoints and add an E2E test for the dataset upload flow.,
7ce6cda,Naman Agarwal,feat: Add E2E API happy path tests and refactor frontend dataset upload and validation endpoints.,
4d7045e,Naman Agarwal,Merge pull request #3 from namanag97/refactor-api-structure,
850e1fe,Naman Agarwal,chore: update mypy config and add comprehensive logging,
bed1a4c,Naman Agarwal,"feat: Add new admin, organization, and workspace member management APIs, update dataset operations, and refactor existing services and models.",
1b09232,Naman Agarwal,"refactor: Reorganize process mining module structure, add integration tests, and refactoring documentation.",
4baf64d,Naman Agarwal,refactor: move process mining service implementations to feature layer and add compatibility shims,
fb1c319,Naman Agarwal,refactor: relocate process mining services to their respective feature directories and update imports for modularity.,
cb18828,Naman Agarwal,"feat: add process mining services for predictions, simulation, workflows, business use cases, filtering, OCPM, and organizational analysis, and update dataset mapping.",
7ac1d94,Naman Agarwal,refactor: Update service import paths and expose feature routers in `__init__.py` files.,
09adb8d,Naman Agarwal,refactor: Remove numerous process mining API endpoints and update analytics router.,
ba88780,Naman Agarwal,"feat: Introduce new process mining modules for OCPM, organizational, filtering, simulation, workflows, and business use cases.",
fa14457,Naman Agarwal,"feat: Introduce process mining analytics, analyses, and predictions API endpoints and centralize dataset export schemas.",
4d0608a,Naman Agarwal,refactor: Move job and workspace Pydantic schemas to dedicated files and remove the process mining analytics router.,
743d335,Naman Agarwal,feat: introduce OCEL models and centralize admin and organization schemas,
feca6ba,Naman Agarwal,"feat: introduce admin API for user management and system stats, add workspace member management, and enable process mining dataset export",
0691550,Naman Agarwal,"feat: introduce new organization and admin modules, refactor task management by splitting tasks, and remove process mining ORM.",
5b19279,Naman Agarwal,feat: implement Celery task infrastructure for background process mining analysis and generate API route documentation.,
0f9bb8c,Naman Agarwal,"feat: implement process mining data models for events, process models, and predictions with accompanying database migrations.",
320ffa6,Naman Agarwal,feat: Refine dataset ingestion workflow with new UPLOADED/MAPPED statuses and detailed column detection schemas including error reporting.,
dff438d,Naman Agarwal,feat: Implement process mining dataset analytics and CRUD APIs.,
dfb48e8,Naman Agarwal,"feat: Add dataset upload API with direct and presigned S3 methods, and new dataset column and metadata models.",
e3984f6,Naman Agarwal,"feat: add DatasetColumn, DatasetColumnMapping, and DatasetMetadata ORM models for 4-phase upload architecture.",
5d0bc5c,Naman Agarwal,"feat: Enhance API security and multi-tenancy with improved validation, authorization, and new architecture documentation.",
e14a83a,Naman Agarwal,"feat: Introduce new devconsole streaming and logging, update process mining APIs and models, and refresh OpenAPI SDK.",
15ca7a4,Naman Agarwal,Merge pull request #2 from namanag97/feature/workspace-project-improvements,
8de9424,Naman Agarwal,refactor: migrate frontend from monolith to Feature-Sliced Design (FSD) architecture,
73081ad,Naman Agarwal,"feat: Introduce devtools tracing and data, refactor frontend components into shared UI/hooks, add lookup tables for process mining, and update upload wizard.",
03367e3,Naman Agarwal,"feat: Introduce new process mining features, refactor backend services, and update OpenAPI SDK with new frontend project pages.",
f363a64,Naman Agarwal,feat: Introduce process mining features and refactor core infrastructure into a new platform layer.,
0a2da10,Naman Agarwal,Removed numerous temporary CSV upload files and added new documentation and schema files.,
687e046,Naman Agarwal,chore: remove remaining non-README documentation files,
7db20c2,Naman Agarwal,chore: ignore all .md and .txt files except README,
6cf3cdf,Naman Agarwal,On dev: Temporary stash for filter-branch,
3348828,Naman Agarwal,"chore: ignore large data files (*.xes, *.csv)",
231d2f0,Naman Agarwal,refactor: standardize API naming from logId to datasetId and enhance authentication logging,
46f2008,Naman Agarwal,"feat: Implement unified explorer data fetching, presigned file uploads, and workspace-aware project creation.",
ee3a41d,Naman Agarwal,feat: consolidate SDK - connect design system to OpenAPI-generated SDK,
06d64e4,Naman Agarwal,"fix: Complete Phase 1 & 2 remediation - type safety, lint, and algorithm fixes",
2494b9c,Naman Agarwal,feat: implement OpenAPI single source of truth for TypeScript types,
7ea6e79,Naman Agarwal,"feat: Implement new backend services, API routes, and core functionalities, alongside significant frontend explorer feature enhancements and refactoring.",
aac9918,Naman Agarwal,feat: Implement new storage architecture with dedicated tables and extensive migration documentation.,
078aa27,Naman Agarwal,fix: syntax errors from automated sed replacements,
957fe41,Naman Agarwal,chore: remove unused variables and type declarations,
b02378a,Naman Agarwal,chore: remove unused Ant Design and Design System imports,
cbcb7f6,Naman Agarwal,chore: remove unnecessary React imports (React 19),
c493361,Naman Agarwal,fix: resolve critical type mismatches in AI module and Explorer,
175c33b,Naman Agarwal,feat: Migrate frontend pages to a new feature-based structure under `src/features/platform` and update backend visualization schema.,
ec8560e,Naman Agarwal,checkpoint: saving work 2026-01-04-1512,
a828655,Naman Agarwal,"feat: Implement async processing for OCEL uploads and OC-PN discovery, add async job tracking, and introduce streaming file uploads.",
8bc43ed,Naman Agarwal,"docs: Reorganize documentation, introduce new CEO/CTO/CPO reports and vision, and update backend services and frontend components.",
a27cb84,Naman Agarwal,"Finally, some fixed on uploading files",
9321c4f,Naman Agarwal,wip: Save work in progress before branch consolidation,
2266923,Naman Agarwal,feat: Add simple dataset upload and analyze hooks,
1821e1b,Naman Agarwal,feat: Add simple dataset upload and analyze hooks,
ec058b5,Naman Agarwal,fix: Resolve environment variable loading issue in rspack config,
28c9f49,Naman Agarwal,fix: Resolve environment variable loading issue in rspack config,
4d66dcb,Naman Agarwal,"docs: Add extensive internal documentation, implement deferred ingestion, and refactor backend services and frontend components.",
edc6dfa,Naman Agarwal,"docs: Add extensive internal documentation, implement deferred ingestion, and refactor backend services and frontend components.",
