commit_hash,date,author,filepath,lines_added,lines_deleted,net_change,file_type
6ddab88,feat: Add Temporal infrastructure configuration and dependencies,Naman Agarwal,backend/docker-compose.temporal.yml,81,0,81,yml
6ddab88,feat: Add Temporal infrastructure configuration and dependencies,Naman Agarwal,backend/pyproject.toml,3,0,3,toml
6ddab88,feat: Add Temporal infrastructure configuration and dependencies,Naman Agarwal,backend/temporal-config/development.yaml,3,0,3,yaml
6ddab88,feat: Add Temporal infrastructure configuration and dependencies,Naman Agarwal,implementation_pla1n.md,637,0,637,md
fc227f8,chore: Add agent session log entry for a 'Read' tool 'PostToolUse' event.,Naman Agarwal,backend/agent-sessions/473fd7c9.jsonl,151,0,151,jsonl
fc227f8,chore: Add agent session log entry for a 'Read' tool 'PostToolUse' event.,Naman Agarwal,backend/agent-sessions/c982b055.jsonl,15,0,15,jsonl
fc227f8,chore: Add agent session log entry for a 'Read' tool 'PostToolUse' event.,Naman Agarwal,backend/data/storage/pm-raw-dev/05be9a0b-bc81-42f6-b342-796bb8ad5568/f3c9e6ba-031f-453c-bcbc-46298b5b855a.csv,7,0,7,csv
fc227f8,chore: Add agent session log entry for a 'Read' tool 'PostToolUse' event.,Naman Agarwal,backend/data/storage/pm-raw-dev/63028742-9800-4e43-84a2-08ababe46421/3f4c2240-c732-4779-821e-c6b156bc04bb.csv,7,0,7,csv
fc227f8,chore: Add agent session log entry for a 'Read' tool 'PostToolUse' event.,Naman Agarwal,backend/data/storage/pm-raw-dev/7f261a6f-42af-4253-bfba-46a93a70e927/fcb5b3d0-635c-41ea-b6b7-f5c4589d7906.csv,7,0,7,csv
fc227f8,chore: Add agent session log entry for a 'Read' tool 'PostToolUse' event.,Naman Agarwal,backend/data/storage/pm-raw-dev/82fde6da-1190-46b3-a08c-c57fd852736d/9f70fa7a-af93-44e6-8874-2b738d0dd25f.csv,180001,0,180001,csv
fc227f8,chore: Add agent session log entry for a 'Read' tool 'PostToolUse' event.,Naman Agarwal,backend/data/storage/pm-raw-dev/fc1719ef-d60e-49b8-a898-c24d13a48b42/08efbfc1-0ec6-475f-a518-6b319e63e83d.csv,7,0,7,csv
fc227f8,chore: Add agent session log entry for a 'Read' tool 'PostToolUse' event.,Naman Agarwal,backend/src/features/process_mining/datasets/api/crud.py,44,0,44,py
fc227f8,chore: Add agent session log entry for a 'Read' tool 'PostToolUse' event.,Naman Agarwal,backend/src/features/process_mining/datasets/api/export.py,5,5,0,py
fc227f8,chore: Add agent session log entry for a 'Read' tool 'PostToolUse' event.,Naman Agarwal,backend/src/features/process_mining/datasets/api/ingestion.py,1,1,0,py
fc227f8,chore: Add agent session log entry for a 'Read' tool 'PostToolUse' event.,Naman Agarwal,backend/src/features/process_mining/datasets/models/dataset.py,8,1,7,py
fc227f8,chore: Add agent session log entry for a 'Read' tool 'PostToolUse' event.,Naman Agarwal,backend/src/features/process_mining/models/dataset.py,7,2,5,py
fc227f8,chore: Add agent session log entry for a 'Read' tool 'PostToolUse' event.,Naman Agarwal,backend/src/features/process_mining/models/enums.py,1,0,1,py
fc227f8,chore: Add agent session log entry for a 'Read' tool 'PostToolUse' event.,Naman Agarwal,backend/src/platform/infrastructure/object_storage.py,6,1,5,py
0186ec1,"refactor: Migrate core datasets, analysis, and admin functionality to the new process mining feature structure.",Naman Agarwal,backend/agent-sessions/b7a4cb5b.jsonl,1,0,1,jsonl
0186ec1,"refactor: Migrate core datasets, analysis, and admin functionality to the new process mining feature structure.",Naman Agarwal,backend/agent-sessions/c982b055.jsonl,5,0,5,jsonl
0186ec1,"refactor: Migrate core datasets, analysis, and admin functionality to the new process mining feature structure.",Naman Agarwal,backend/src/api/routers/__init__.py,5,7,-2,py
0186ec1,"refactor: Migrate core datasets, analysis, and admin functionality to the new process mining feature structure.",Naman Agarwal,backend/src/domains/__init__.py,0,14,-14,py
0186ec1,"refactor: Migrate core datasets, analysis, and admin functionality to the new process mining feature structure.",Naman Agarwal,backend/src/domains/admin/README.md,0,59,-59,md
0186ec1,"refactor: Migrate core datasets, analysis, and admin functionality to the new process mining feature structure.",Naman Agarwal,backend/src/domains/admin/__init__.py,0,24,-24,py
0186ec1,"refactor: Migrate core datasets, analysis, and admin functionality to the new process mining feature structure.",Naman Agarwal,backend/src/domains/admin/api/__init__.py,0,24,-24,py
0186ec1,"refactor: Migrate core datasets, analysis, and admin functionality to the new process mining feature structure.",Naman Agarwal,backend/src/domains/admin/api/auth.py,0,661,-661,py
0186ec1,"refactor: Migrate core datasets, analysis, and admin functionality to the new process mining feature structure.",Naman Agarwal,backend/src/domains/admin/api/organizations.py,0,452,-452,py
0186ec1,"refactor: Migrate core datasets, analysis, and admin functionality to the new process mining feature structure.",Naman Agarwal,backend/src/domains/admin/api/projects.py,0,505,-505,py
0186ec1,"refactor: Migrate core datasets, analysis, and admin functionality to the new process mining feature structure.",Naman Agarwal,backend/src/domains/admin/api/workspaces.py,0,645,-645,py
0186ec1,"refactor: Migrate core datasets, analysis, and admin functionality to the new process mining feature structure.",Naman Agarwal,backend/src/domains/admin/models/__init__.py,0,18,-18,py
0186ec1,"refactor: Migrate core datasets, analysis, and admin functionality to the new process mining feature structure.",Naman Agarwal,backend/src/domains/admin/models/models.py,0,223,-223,py
0186ec1,"refactor: Migrate core datasets, analysis, and admin functionality to the new process mining feature structure.",Naman Agarwal,backend/src/domains/admin/models/organization.py,0,42,-42,py
0186ec1,"refactor: Migrate core datasets, analysis, and admin functionality to the new process mining feature structure.",Naman Agarwal,backend/src/domains/admin/models/project.py,0,42,-42,py
0186ec1,"refactor: Migrate core datasets, analysis, and admin functionality to the new process mining feature structure.",Naman Agarwal,backend/src/domains/admin/models/user.py,0,45,-45,py
0186ec1,"refactor: Migrate core datasets, analysis, and admin functionality to the new process mining feature structure.",Naman Agarwal,backend/src/domains/admin/models/workspace.py,0,67,-67,py
0186ec1,"refactor: Migrate core datasets, analysis, and admin functionality to the new process mining feature structure.",Naman Agarwal,backend/src/domains/admin/schemas/__init__.py,0,39,-39,py
0186ec1,"refactor: Migrate core datasets, analysis, and admin functionality to the new process mining feature structure.",Naman Agarwal,backend/src/domains/admin/schemas/schemas.py,0,192,-192,py
0186ec1,"refactor: Migrate core datasets, analysis, and admin functionality to the new process mining feature structure.",Naman Agarwal,backend/src/domains/admin/services/__init__.py,0,17,-17,py
0186ec1,"refactor: Migrate core datasets, analysis, and admin functionality to the new process mining feature structure.",Naman Agarwal,backend/src/domains/analysis/README.md,0,117,-117,md
0186ec1,"refactor: Migrate core datasets, analysis, and admin functionality to the new process mining feature structure.",Naman Agarwal,backend/src/domains/analysis/__init__.py,0,39,-39,py
0186ec1,"refactor: Migrate core datasets, analysis, and admin functionality to the new process mining feature structure.",Naman Agarwal,backend/src/domains/analysis/api/__init__.py,0,57,-57,py
0186ec1,"refactor: Migrate core datasets, analysis, and admin functionality to the new process mining feature structure.",Naman Agarwal,backend/src/domains/analysis/api/analytics.py,0,254,-254,py
0186ec1,"refactor: Migrate core datasets, analysis, and admin functionality to the new process mining feature structure.",Naman Agarwal,backend/src/domains/analysis/api/conformance.py,0,543,-543,py
0186ec1,"refactor: Migrate core datasets, analysis, and admin functionality to the new process mining feature structure.",Naman Agarwal,backend/src/domains/analysis/api/discovery.py,0,183,-183,py
0186ec1,"refactor: Migrate core datasets, analysis, and admin functionality to the new process mining feature structure.",Naman Agarwal,backend/src/domains/analysis/api/filtering.py,0,452,-452,py
0186ec1,"refactor: Migrate core datasets, analysis, and admin functionality to the new process mining feature structure.",Naman Agarwal,backend/src/domains/analysis/api/ocpm.py,0,345,-345,py
0186ec1,"refactor: Migrate core datasets, analysis, and admin functionality to the new process mining feature structure.",Naman Agarwal,backend/src/domains/analysis/api/organizational.py,0,138,-138,py
0186ec1,"refactor: Migrate core datasets, analysis, and admin functionality to the new process mining feature structure.",Naman Agarwal,backend/src/domains/analysis/api/predictions.py,0,387,-387,py
0186ec1,"refactor: Migrate core datasets, analysis, and admin functionality to the new process mining feature structure.",Naman Agarwal,backend/src/domains/analysis/api/simulation.py,0,179,-179,py
0186ec1,"refactor: Migrate core datasets, analysis, and admin functionality to the new process mining feature structure.",Naman Agarwal,backend/src/domains/analysis/api/visualization.py,0,505,-505,py
0186ec1,"refactor: Migrate core datasets, analysis, and admin functionality to the new process mining feature structure.",Naman Agarwal,backend/src/domains/analysis/models/__init__.py,0,35,-35,py
0186ec1,"refactor: Migrate core datasets, analysis, and admin functionality to the new process mining feature structure.",Naman Agarwal,backend/src/domains/analysis/models/analysis.py,0,84,-84,py
0186ec1,"refactor: Migrate core datasets, analysis, and admin functionality to the new process mining feature structure.",Naman Agarwal,backend/src/domains/analysis/models/enums.py,0,25,-25,py
0186ec1,"refactor: Migrate core datasets, analysis, and admin functionality to the new process mining feature structure.",Naman Agarwal,backend/src/domains/analysis/models/events.py,0,83,-83,py
0186ec1,"refactor: Migrate core datasets, analysis, and admin functionality to the new process mining feature structure.",Naman Agarwal,backend/src/domains/analysis/models/prediction.py,0,62,-62,py
0186ec1,"refactor: Migrate core datasets, analysis, and admin functionality to the new process mining feature structure.",Naman Agarwal,backend/src/domains/analysis/models/process_model.py,0,89,-89,py
0186ec1,"refactor: Migrate core datasets, analysis, and admin functionality to the new process mining feature structure.",Naman Agarwal,backend/src/domains/analysis/schemas/__init__.py,0,22,-22,py
0186ec1,"refactor: Migrate core datasets, analysis, and admin functionality to the new process mining feature structure.",Naman Agarwal,backend/src/domains/analysis/schemas/analyses.py,0,185,-185,py
0186ec1,"refactor: Migrate core datasets, analysis, and admin functionality to the new process mining feature structure.",Naman Agarwal,backend/src/domains/analysis/schemas/analysis.py,0,223,-223,py
0186ec1,"refactor: Migrate core datasets, analysis, and admin functionality to the new process mining feature structure.",Naman Agarwal,backend/src/domains/analysis/schemas/analytics.py,0,120,-120,py
0186ec1,"refactor: Migrate core datasets, analysis, and admin functionality to the new process mining feature structure.",Naman Agarwal,backend/src/domains/analysis/schemas/conformance.py,0,151,-151,py
0186ec1,"refactor: Migrate core datasets, analysis, and admin functionality to the new process mining feature structure.",Naman Agarwal,backend/src/domains/analysis/schemas/discovery.py,0,75,-75,py
0186ec1,"refactor: Migrate core datasets, analysis, and admin functionality to the new process mining feature structure.",Naman Agarwal,backend/src/domains/analysis/schemas/ocel.py,0,220,-220,py
0186ec1,"refactor: Migrate core datasets, analysis, and admin functionality to the new process mining feature structure.",Naman Agarwal,backend/src/domains/analysis/schemas/organizational.py,0,67,-67,py
0186ec1,"refactor: Migrate core datasets, analysis, and admin functionality to the new process mining feature structure.",Naman Agarwal,backend/src/domains/analysis/schemas/predictions.py,0,108,-108,py
0186ec1,"refactor: Migrate core datasets, analysis, and admin functionality to the new process mining feature structure.",Naman Agarwal,backend/src/domains/analysis/schemas/simulation.py,0,44,-44,py
0186ec1,"refactor: Migrate core datasets, analysis, and admin functionality to the new process mining feature structure.",Naman Agarwal,backend/src/domains/analysis/schemas/visualization.py,0,104,-104,py
0186ec1,"refactor: Migrate core datasets, analysis, and admin functionality to the new process mining feature structure.",Naman Agarwal,backend/src/domains/analysis/schemas/workflows.py,0,92,-92,py
0186ec1,"refactor: Migrate core datasets, analysis, and admin functionality to the new process mining feature structure.",Naman Agarwal,backend/src/domains/analysis/services/__init__.py,0,42,-42,py
0186ec1,"refactor: Migrate core datasets, analysis, and admin functionality to the new process mining feature structure.",Naman Agarwal,backend/src/domains/analysis/services/analytics/__init__.py,0,13,-13,py
0186ec1,"refactor: Migrate core datasets, analysis, and admin functionality to the new process mining feature structure.",Naman Agarwal,backend/src/domains/analysis/services/analytics/bottleneck.py,0,223,-223,py
0186ec1,"refactor: Migrate core datasets, analysis, and admin functionality to the new process mining feature structure.",Naman Agarwal,backend/src/domains/analysis/services/analytics/service.py,0,467,-467,py
0186ec1,"refactor: Migrate core datasets, analysis, and admin functionality to the new process mining feature structure.",Naman Agarwal,backend/src/domains/analysis/services/conformance/__init__.py,0,13,-13,py
0186ec1,"refactor: Migrate core datasets, analysis, and admin functionality to the new process mining feature structure.",Naman Agarwal,backend/src/domains/analysis/services/conformance/service.py,0,733,-733,py
0186ec1,"refactor: Migrate core datasets, analysis, and admin functionality to the new process mining feature structure.",Naman Agarwal,backend/src/domains/analysis/services/discovery/__init__.py,0,21,-21,py
0186ec1,"refactor: Migrate core datasets, analysis, and admin functionality to the new process mining feature structure.",Naman Agarwal,backend/src/domains/analysis/services/discovery/algorithms.py,0,307,-307,py
0186ec1,"refactor: Migrate core datasets, analysis, and admin functionality to the new process mining feature structure.",Naman Agarwal,backend/src/domains/analysis/services/discovery/service.py,0,760,-760,py
0186ec1,"refactor: Migrate core datasets, analysis, and admin functionality to the new process mining feature structure.",Naman Agarwal,backend/src/domains/analysis/services/filtering_service.py,0,1030,-1030,py
0186ec1,"refactor: Migrate core datasets, analysis, and admin functionality to the new process mining feature structure.",Naman Agarwal,backend/src/domains/analysis/services/hierarchical.py,0,172,-172,py
0186ec1,"refactor: Migrate core datasets, analysis, and admin functionality to the new process mining feature structure.",Naman Agarwal,backend/src/domains/analysis/services/loader.py,0,451,-451,py
0186ec1,"refactor: Migrate core datasets, analysis, and admin functionality to the new process mining feature structure.",Naman Agarwal,backend/src/domains/analysis/services/ocpm/__init__.py,0,13,-13,py
0186ec1,"refactor: Migrate core datasets, analysis, and admin functionality to the new process mining feature structure.",Naman Agarwal,backend/src/domains/analysis/services/ocpm/service.py,0,702,-702,py
0186ec1,"refactor: Migrate core datasets, analysis, and admin functionality to the new process mining feature structure.",Naman Agarwal,backend/src/domains/analysis/services/organizational/__init__.py,0,13,-13,py
0186ec1,"refactor: Migrate core datasets, analysis, and admin functionality to the new process mining feature structure.",Naman Agarwal,backend/src/domains/analysis/services/organizational/service.py,0,280,-280,py
0186ec1,"refactor: Migrate core datasets, analysis, and admin functionality to the new process mining feature structure.",Naman Agarwal,backend/src/domains/analysis/services/predictions/__init__.py,0,13,-13,py
